No.,REF_DATE,GEO,DGUID,Assets and liabilities,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1,1946-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5865,,,t,0
2,1946-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5823,,,t,0
3,1946-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5815,,,t,0
4,1946-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5849,,,t,0
5,1946-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5864,,,t,0
6,1946-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5810,,,t,0
7,1946-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5849,,,t,0
8,1946-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5941,,,t,0
9,1946-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,5997,,,t,0
10,1946-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6124,,,t,0
11,1946-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6321,,,t,0
12,1946-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6330,,,t,0
13,1947-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6255,,,t,0
14,1947-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6201,,,t,0
15,1947-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6175,,,t,0
16,1947-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6300,,,t,0
17,1947-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6261,,,t,0
18,1947-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,6164,,,t,0
