No.,Year,United States,Canada
1,1980,100,100
2,1981,102.13,101.99
3,1982,101.55,104.56
4,1983,105.01,108
5,1984,108,111.5
6,1985,110.47,112.83
7,1986,113.58,112.02
8,1987,114.19,112.99
9,1988,115.91,114.78
10,1989,117.23,115.34
11,1990,119.56,115.4
12,1991,121.46,115.25
13,1992,127.1,117.9
14,1993,127.22,119.86
15,1994,127.95,122.81
16,1995,128.84,124.03
17,1996,131.98,123.38
18,1997,134.83,127.24
19,1998,139.44,130.43
20,1999,145.12,135.54
21,2000,149.68,141.62
22,2001,153.62,143.87
23,2002,160.12,146
24,2003,166.23,146.58
25,2004,171.45,147.45
26,2005,175.28,150.58
27,2006,177.01,152.98
28,2007,179.91,153.37
29,2008,182.37,151.76
30,2009,189.83,150.22
31,2010,195.95,152.32
32,2011,195.59,155.83
33,2012,196.95,155.73
34,2013,199.06,158.79
35,2014,200.58,164.55
36,2015,203,164.31
37,2016,204.58,165.57
38,2017,207.3,168.46
39,2018,210.35,169.04
40,2019,214.71,169.9
41,2020,225.68,185.45
42,2021,229.79,175.09
43,2022,225.43,173.94
44,2023,228.67,170.19
