"Labour productivity and related measures by business sector industry and by non-commercial activity consistent with the industry accounts c 1 2"
"Frequency: Annual"
"Table: 36-10-0480-01 (formerly CANSIM 383-0033)"
"Release date: 2024-05-21"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada 3",,,,
"Labour productivity and related measures","Labour productivity 4",,,,
"Industry 5","2019","2020","2021","2022","2023"
,"Chained (2017) dollars per hour",,,,
"All industries 6","63.4","68.5","65.2","64.7","63.6"
"Business sector industries 7","59.0","64.4","60.8","60.4","59.1"
"Goods-producing businesses 8","74.7","80.7","74.9","74.1","71.1"
"Agriculture, forestry, fishing and hunting  [BS11] 9","53.9","57.9","51.9","59.7","58.5"
"Crop and animal production  [BS11A] 10","53.6","57.8","51.4","61.7","60.1"
"Crop production  [BS111]","77.8","81.8","70.1","86.0","81.4"
"Greenhouse, nursery and floriculture production  [BS1114]","47.0","57.3","57.3","64.9","60.5"
"Crop production (except greenhouse, nursery and floriculture production)  [BS111A] 11","90.0","91.5","77.6","97.2","92.0"
"Animal production  [BS112]","25.4","28.0","29.1","30.7","32.0"
"Aquaculture  [BS1125]","98.8","100.0","116.7","102.9","89.5"
"Animal production (except aquaculture)  [BS112A] 12","23.6","26.2","27.1","28.8","30.4"
"Forestry and logging  [BS113]","58.6","63.8","56.6","53.4","51.0"
"Fishing, hunting and trapping  [BS114]","78.8","82.7","75.7","73.8","84.7"
"Support activities for agriculture and forestry  [BS115]","40.0","43.3","41.4","43.9","43.7"
"Support activities for forestry  [BS1153]","40.0","42.2","41.1","40.3","42.7"
"Support activities for crop and animal production  [BS115A] 13","40.1","44.2","41.6","47.2","44.7"
"Mining and oil and gas extraction  [BS21]","200.3","219.6","209.2","204.0","196.3"
"Oil and gas extraction  [BS211]","383.7","425.4","401.7","386.6","356.4"
"Conventional oil and gas extraction  [BS211113]","293.9","338.3","272.6","273.3","248.8"
"Non-conventional oil extraction  [BS211114]","531.4","559.7","680.7","609.7","578.4"
"Mining and quarrying (except oil and gas)  [BS212]","161.8","167.2","157.3","155.0","148.9"
"Coal mining  [BS2121]","239.4","167.9","156.5","148.5","148.2"
"Metal ore mining  [BS2122]","159.3","168.7","157.9","157.9","152.8"
"Iron ore mining  [BS21221]","247.4","286.4","247.1","272.1","252.9"
"Gold and silver ore mining  [BS21222]","117.3","116.2","119.6","118.8","110.9"
"Copper, nickel, lead and zinc ore mining  [BS21223]","201.4","232.8","198.3","189.7","183.0"
"Other metal ore mining  [BS21229]","109.9","73.4","73.1","69.1","105.4"
"Non-metallic mineral mining and quarrying  [BS2123]","141.2","155.0","150.5","147.4","138.5"
"Stone mining and quarrying  [BS21231]","105.7","127.3","126.6","122.4","123.1"
"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying  [BS21232]","71.9","68.7","70.0","66.7","65.9"
"Diamond mining  [BS212392]","210.0","184.2","180.6","164.3","163.2"
"Potash mining  [BS212396]","251.5","286.2","264.6","291.4","253.7"
"Other non-metallic mineral mining and quarrying (except diamond and potash)  [BS21239A] 14","91.6","114.7","115.1","106.2","93.6"
"Support activities for mining and oil and gas extraction  [BS213]","71.2","68.7","72.2","76.0","74.2"
"Support activities for oil and gas extraction  [BS21311A] 15","76.3","73.0","75.3","81.3","80.3"
"Support activities for mining  [BS21311B] 16","58.8","61.1","67.4","66.3","63.0"
"Utilities  [BS22]","214.5","229.0","216.4","218.0","196.6"
"Electric power generation, transmission and distribution  [BS2211]","211.5","225.8","212.8","212.3","190.6"
"Natural gas distribution, water, sewage and other systems  [BS221A] 17","234.8","250.5","242.0","260.1","241.3"
"Natural gas distribution  [BS2212]","262.8","281.7","272.0","300.6","277.3"
"Water, sewage and other systems  [BS2213]","94.2","91.8","89.0","92.9","87.0"
"Construction  [BS23]","54.0","61.1","54.0","51.0","48.6"
"Residential building construction  [BS23A] 18","51.3","60.5","54.4","49.8","43.7"
"Non-residential building construction  [BS23B] 18","51.1","56.0","46.6","41.6","38.6"
"Engineering construction  [BS23C] 18","62.3","69.7","63.0","61.3","65.3"
"Transportation engineering construction  [BS23C1] 18","50.4","58.0","55.3","56.2","59.9"
"Oil and gas engineering construction  [BS23C2] 18","57.4","63.5","60.9","61.5","63.1"
"Electric power engineering construction  [BS23C3] 18","113.1","123.8","107.5","98.2","107.0"
"Communication engineering construction  [BS23C4] 18","64.3","74.1","51.8","47.5","51.7"
"Other engineering construction  [BS23C5] 18","58.4","65.0","52.0","48.9","56.4"
"Repair construction  [BS23D] 18","47.1","52.3","45.5","44.8","41.9"
"Other activities of the construction industry  [BS23E] 18","148.6","184.2","157.1","154.0","153.0"
"Manufacturing  [BS3A] 19","68.3","71.2","69.6","69.6","67.2"
"Food manufacturing  [BS311]","59.7","62.0","60.0","60.8","59.8"
"Animal food manufacturing  [BS3111]","70.3","79.0","77.7","75.5","67.9"
"Sugar and confectionery product manufacturing  [BS3113]","90.4","93.5","96.7","89.5","84.5"
"Fruit and vegetable preserving and specialty food manufacturing  [BS3114]","57.0","55.8","54.6","56.3","52.4"
"Dairy product manufacturing  [BS3115]","75.2","78.9","78.3","76.1","71.6"
"Meat product manufacturing  [BS3116]","54.0","54.6","49.8","56.0","54.9"
"Seafood product preparation and packaging  [BS3117]","33.4","34.9","37.6","33.9","34.5"
"Miscellaneous food manufacturing  [BS311A] 20","61.7","65.3","64.2","62.6","62.8"
"Grain and oilseed milling  [BS3112]","154.3","148.0","143.6","140.6","156.8"
"Bakeries and tortilla manufacturing  [BS3118]","49.1","50.6","51.5","48.3","48.3"
"Other food manufacturing  [BS3119]","60.9","68.3","65.6","66.7","64.8"
"Beverage and tobacco product manufacturing  [BS312]","80.3","83.4","83.2","80.6","75.4"
"Soft drink and ice manufacturing  [BS31211]","55.3","53.4","54.4","54.7","49.0"
"Breweries  [BS31212]","86.7","94.4","83.2","76.2","70.0"
"Wineries and distilleries  [BS3121A] 21","64.0","71.7","63.7","61.8","55.3"
"Tobacco manufacturing  [BS3122]","176.2","154.2","178.0","182.6","183.0"
"Textile and textile product mills  [BS31A] 22","42.5","48.8","46.9","46.0","42.2"
"Clothing and leather and allied product manufacturing  [BS31B] 23","28.2","29.2","28.6","31.9","28.5"
"Wood product manufacturing  [BS321]","57.4","64.0","61.5","64.1","61.0"
"Sawmills and wood preservation  [BS3211]","64.0","65.5","61.4","59.2","54.8"
"Veneer, plywood and engineered wood product manufacturing  [BS3212]","77.7","81.7","88.7","97.1","89.6"
"Other wood product manufacturing  [BS3219]","40.4","52.3","46.9","49.6","51.6"
"Paper manufacturing  [BS322]","75.2","78.4","80.0","75.3","68.4"
"Pulp, paper and paperboard mills  [BS3221]","88.6","90.2","96.0","89.5","80.2"
"Converted paper product manufacturing  [BS3222]","62.7","66.8","64.9","61.4","57.0"
"Printing and related support activities  [BS323]","49.5","46.6","43.9","40.0","36.7"
"Petroleum and coal product manufacturing  [BS324]","415.5","471.9","462.8","457.9","462.3"
"Petroleum refineries  [BS32411]","708.5","858.8","818.3","829.5","840.5"
"Petroleum and coal products manufacturing (except petroleum refineries)  [BS3241A] 24","76.9","89.1","99.2","97.6","92.2"
"Chemical manufacturing  [BS325]","127.6","136.1","137.5","135.2","128.2"
"Basic chemical manufacturing  [BS3251]","258.1","263.7","245.4","247.4","218.2"
"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing  [BS3252]","446.1","475.2","477.6","409.1","339.5"
"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS3253]","122.5","141.4","146.2","129.9","150.9"
"Pharmaceutical and medicine manufacturing  [BS3254]","95.4","106.8","105.2","113.2","108.2"
"Miscellaneous chemical product manufacturing  [BS325A] 25","65.2","69.0","68.8","66.5","63.8"
"Paint, coating and adhesive manufacturing  [BS3255]","63.1","64.7","69.9","67.7","56.9"
"Soap, cleaning compound and toilet preparation manufacturing  [BS3256]","52.4","57.6","59.4","55.0","58.5"
"Other chemical product manufacturing  [BS3259]","83.7","88.8","81.9","81.4","80.4"
"Plastics and rubber products manufacturing  [BS326]","50.8","54.8","54.6","55.5","47.8"
"Plastic product manufacturing  [BS3261]","49.4","53.6","52.5","53.9","46.1"
"Rubber product manufacturing  [BS3262]","58.1","61.2","66.5","64.3","57.5"
"Non-metallic mineral product manufacturing  [BS327]","64.4","77.0","76.7","78.7","76.2"
"Cement and concrete product manufacturing  [BS3273]","70.7","84.2","84.1","81.1","82.7"
"Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A] 26","56.7","68.1","67.6","75.5","68.2"
"Primary metal manufacturing  [BS331]","103.6","102.7","95.7","95.5","91.6"
"Iron and steel mills and ferro-alloy manufacturing  [BS3311]","75.2","84.9","83.4","93.1","83.2"
"Steel product manufacturing from purchased steel  [BS3312]","70.9","54.9","51.1","63.8","60.3"
"Alumina and aluminum production and processing  [BS3313]","170.6","170.3","154.8","154.4","164.6"
"Non-ferrous metal (except aluminum) production and processing  [BS3314]","146.3","126.4","120.8","115.5","107.7"
"Foundries  [BS3315]","50.2","60.8","56.5","51.4","48.0"
"Fabricated metal product manufacturing  [BS332]","51.7","52.3","50.8","49.2","48.9"
"Forging and stamping  [BS3321]","55.3","68.0","76.6","71.0","65.8"
"Architectural and structural metals manufacturing  [BS3323]","52.7","55.1","50.1","46.8","48.5"
"Boiler, tank and shipping container manufacturing  [BS3324]","60.8","55.9","58.9","60.2","59.8"
