Year,Technology,Bubble_Status
1980,Personal Computing,Emerging Bubble
1981,Personal Computing,Emerging Bubble
1982,Personal Computing,Growing Bubble
1983,Personal Computing,Growing Bubble
1984,Personal Computing,Full Bubble
1985,Personal Computing,Full Bubble
1986,Personal Computing,Full Bubble
1987,Personal Computing,Growing Bubble
1988,Personal Computing,Not a Bubble
1989,Internet,Emerging Bubble
1990,Internet,Emerging Bubble
1991,Internet,Growing Bubble
1992,Internet,Growing Bubble
1993,Internet,Full Bubble
1994,Internet,Full Bubble
1995,Internet,Full Bubble
1996,Internet,Full Bubble
1997,Internet,Full Bubble
1998,Internet,Growing Bubble
1999,Internet,Growing Bubble
2000,Internet,Full Bubble
2001,Internet,Bubble Burst
2002,Social Media,Emerging Bubble
2003,Social Media,Emerging Bubble
2004,Social Media,Growing Bubble
2005,Social Media,Growing Bubble
2006,Social Media,Full Bubble
2007,Social Media,Full Bubble
2008,Social Media,Growing Bubble
2009,Social Media,Growing Bubble
2010,Mobile Technology,Emerging Bubble
2011,Mobile Technology,Growing Bubble
2012,Mobile Technology,Full Bubble
2013,Mobile Technology,Growing Bubble
2014,Mobile Technology,Growing Bubble
2015,Blockchain,Emerging Bubble
2016,Blockchain,Growing Bubble
2017,Blockchain,Growing Bubble
2018,Blockchain,Full Bubble
2019,Blockchain,Full Bubble
2020,AI,Emerging Bubble
2021,AI,Growing Bubble
2022,AI,Growing Bubble
2023,AI,Full Bubble
2024,Quantum Computing,Emerging Bubble
2024,Metaverse,Emerging Bubble
2024,Renewable Energy Tech,Growing Bubble
2024,Biotechnology,Emerging Bubble
2024,Autonomous Vehicles,Emerging Bubble
