"REF_DATE","GEO","DGUID","Labour productivity and related measures","Industry","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","48.5","","","","1"
"1998","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","49.4","","","","1"
"1999","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","50.6","","","","1"
"2000","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","52.3","","","","1"
"2001","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","53.1","","","","1"
"2002","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.0","","","","1"
"2003","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.2","","","","1"
"2004","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","54.8","","","","1"
"2005","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.0","","","","1"
"2006","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.8","","","","1"
"2007","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.9","","","","1"
"2008","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.6","","","","1"
"2009","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","56.6","","","","1"
"2010","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","57.4","","","","1"
"2011","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","58.5","","","","1"
"2012","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","58.6","","","","1"
"2013","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","59.6","","","","1"
"2014","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.4","","","","1"
"2015","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.4","","","","1"
"2016","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","61.9","","","","1"
"2017","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","62.9","","","","1"
"2018","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","63.0","","","","1"
"2019","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","63.4","","","","1"
"2020","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","68.5","","","","1"
"2021","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","65.2","","","","1"
"2022","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","64.7","","","","1"
"2023","Canada","2016A000011124","Labour productivity","All industries","Chained (2017) dollars per hour","446","units","0","v111384112","1.7.1","63.6","","","","1"
"1997","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","44.0","","","","1"
"1998","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","45.0","","","","1"
"1999","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","46.5","","","","1"
"2000","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","48.6","","","","1"
"2001","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","49.5","","","","1"
"2002","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","50.4","","","","1"
"2003","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","50.6","","","","1"
"2004","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","51.0","","","","1"
"2005","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.2","","","","1"
"2006","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.0","","","","1"
"2007","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","53.2","","","","1"
"2008","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.6","","","","1"
"2009","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.1","","","","1"
"2010","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","52.8","","","","1"
"2011","Canada","2016A000011124","Labour productivity","Business sector industries","Chained (2017) dollars per hour","446","units","0","v111384113","1.7.2","54.0","","","","1"
