"REF_DATE","GEO","DGUID","Toronto Stock Exchange Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1039.49","","","","2"
"1976-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1096.52","","","","2"
"1976-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1076.65","","","","2"
"1976-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1077.52","","","","2"
"1976-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1106.17","","","","2"
"1976-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1081.56","","","","2"
"1976-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1069.08","","","","2"
"1976-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1061.57","","","","2"
"1976-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1059.77","","","","2"
"1976-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1025.66","","","","2"
"1976-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1010.60","","","","2"
"1976-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1011.65","","","","2"
"1977-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1012.09","","","","2"
"1977-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1008.92","","","","2"
"1977-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1032.47","","","","2"
"1977-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1019.33","","","","2"
"1977-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1004.01","","","","2"
"1977-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1034.39","","","","2"
"1977-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1067.35","","","","2"
"1977-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1043.76","","","","2"
"1977-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1011.17","","","","2"
"1977-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1002.12","","","","2"
"1977-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1017.48","","","","2"
"1977-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1059.59","","","","2"
"1978-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1047.80","","","","2"
"1978-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1014.83","","","","2"
"1978-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1063.26","","","","2"
"1978-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1091.41","","","","2"
"1978-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1136.26","","","","2"
"1978-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1148.03","","","","2"
"1978-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1193.79","","","","2"
"1978-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1238.38","","","","2"
"1978-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1288.85","","","","2"
"1978-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1327.77","","","","2"
"1978-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1269.80","","","","2"
"1978-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1309.00","","","","2"
"1979-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1382.42","","","","2"
"1979-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1399.10","","","","2"
"1979-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1467.17","","","","2"
"1979-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1484.31","","","","2"
"1979-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1519.67","","","","2"
"1979-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1618.41","","","","2"
"1979-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1602.79","","","","2"
"1979-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1695.30","","","","2"
"1979-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1758.99","","","","2"
"1979-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1804.71","","","","2"
"1979-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1703.26","","","","2"
"1979-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1813.17","","","","2"
"1980-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2027.70","","","","2"
"1980-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2192.58","","","","2"
"1980-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2182.47","","","","2"
"1980-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1877.91","","","","2"
"1980-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2006.87","","","","2"
"1980-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2069.46","","","","2"
"1980-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2206.86","","","","2"
"1980-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2271.67","","","","2"
"1980-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2347.79","","","","2"
"1980-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2366.29","","","","2"
"1980-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2402.23","","","","2"
"1980-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2378.34","","","","2"
"1981-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2319.39","","","","2"
"1981-02","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2255.04","","","","2"
"1981-03","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2341.50","","","","2"
"1981-04","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2378.84","","","","2"
"1981-05","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2376.97","","","","2"
"1981-06","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2365.28","","","","2"
"1981-07","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2390.55","","","","2"
"1981-08","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2334.33","","","","2"
"1981-09","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2203.21","","","","2"
"1981-10","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1958.31","","","","2"
"1981-11","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","2012.09","","","","2"
"1981-12","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1995.70","","","","2"
"1982-01","Canada","2016A000011124","Standard and Poor's/Toronto Stock Exchange Composite Index, high","Index, 2000=1000","176","units","0","v122618","1.1","1956.30","","","","2"
