Category,OECD
1974-06-01 0:00,99.17413
1974-07-01 0:00,98.94115
1974-08-01 0:00,98.71278
1974-09-01 0:00,98.50738
1974-10-01 0:00,98.34538
1974-11-01 0:00,98.27128
1974-12-01 0:00,98.28805
1975-01-01 0:00,98.42613
1975-02-01 0:00,98.6729
1975-03-01 0:00,98.96132
1975-04-01 0:00,99.22231
1975-05-01 0:00,99.39483
1975-06-01 0:00,99.49917
1975-07-01 0:00,99.58019
1975-08-01 0:00,99.63557
1975-09-01 0:00,99.70346
1975-10-01 0:00,99.85197
1975-11-01 0:00,100.1248
1975-12-01 0:00,100.4696
1976-01-01 0:00,100.7775
1976-02-01 0:00,100.9348
1976-03-01 0:00,100.9911
1976-04-01 0:00,101.025
1976-05-01 0:00,101.0792
1976-06-01 0:00,101.1139
1976-07-01 0:00,101.0892
1976-08-01 0:00,100.9927
1976-09-01 0:00,100.8687
1976-10-01 0:00,100.78
1976-11-01 0:00,100.7868
1976-12-01 0:00,100.8607
1977-01-01 0:00,100.953
1977-02-01 0:00,100.9977
1977-03-01 0:00,100.9767
1977-04-01 0:00,100.9186
1977-05-01 0:00,100.8909
1977-06-01 0:00,100.953
1977-07-01 0:00,101.0704
1977-08-01 0:00,101.1835
1977-09-01 0:00,101.2889
1977-10-01 0:00,101.3936
1977-11-01 0:00,101.4805
1977-12-01 0:00,101.5552
1978-01-01 0:00,101.5974
1978-02-01 0:00,101.5824
1978-03-01 0:00,101.5238
1978-04-01 0:00,101.5232
1978-05-01 0:00,101.5509
1978-06-01 0:00,101.5577
1978-07-01 0:00,101.5722
1978-08-01 0:00,101.5551
1978-09-01 0:00,101.54
1978-10-01 0:00,101.4132
1978-11-01 0:00,101.1521
1978-12-01 0:00,100.8833
1979-01-01 0:00,100.7911
1979-02-01 0:00,100.7733
1979-03-01 0:00,100.7114
1979-04-01 0:00,100.6319
1979-05-01 0:00,100.5299
1979-06-01 0:00,100.3382
1979-07-01 0:00,100.1342
1979-08-01 0:00,100.0234
1979-09-01 0:00,99.91262
1979-10-01 0:00,99.73444
1979-11-01 0:00,99.56786
1979-12-01 0:00,99.40537
1980-01-01 0:00,99.25462
1980-02-01 0:00,99.02689
1980-03-01 0:00,98.7109
1980-04-01 0:00,98.50404
1980-05-01 0:00,98.48279
1980-06-01 0:00,98.62824
1980-07-01 0:00,98.85711
1980-08-01 0:00,99.14274
1980-09-01 0:00,99.36855
1980-10-01 0:00,99.4308
1980-11-01 0:00,99.29946
1980-12-01 0:00,99.06092
1981-01-01 0:00,98.93375
1981-02-01 0:00,98.80027
1981-03-01 0:00,98.74704
1981-04-01 0:00,98.82439
1981-05-01 0:00,98.92411
1981-06-01 0:00,98.9089
1981-07-01 0:00,98.86472
1981-08-01 0:00,98.80697
1981-09-01 0:00,98.70091
1981-10-01 0:00,98.55313
1981-11-01 0:00,98.45525
1981-12-01 0:00,98.52629
1982-01-01 0:00,98.70133
1982-02-01 0:00,98.76692
1982-03-01 0:00,98.81635
1982-04-01 0:00,98.9232
1982-05-01 0:00,98.97343
1982-06-01 0:00,98.91071
1982-07-01 0:00,98.78411
1982-08-01 0:00,98.71823
1982-09-01 0:00,98.73595
1982-10-01 0:00,98.80285
1982-11-01 0:00,98.8577
1982-12-01 0:00,98.93594
1983-01-01 0:00,99.12827
1983-02-01 0:00,99.47865
1983-03-01 0:00,99.92639
1983-04-01 0:00,100.2925
1983-05-01 0:00,100.4848
1983-06-01 0:00,100.5402
1983-07-01 0:00,100.542
1983-08-01 0:00,100.5144
1983-09-01 0:00,100.4865
1983-10-01 0:00,100.5241
1983-11-01 0:00,100.6789
1983-12-01 0:00,100.8971
1984-01-01 0:00,101.0717
1984-02-01 0:00,101.0977
1984-03-01 0:00,101.0402
1984-04-01 0:00,100.9171
1984-05-01 0:00,100.8228
1984-06-01 0:00,100.7759
1984-07-01 0:00,100.832
1984-08-01 0:00,100.9335
1984-09-01 0:00,101.0026
1984-10-01 0:00,100.9825
1984-11-01 0:00,100.9716
1984-12-01 0:00,100.9932
1985-01-01 0:00,101.0476
1985-02-01 0:00,101.0213
1985-03-01 0:00,100.9753
1985-04-01 0:00,100.9445
1985-05-01 0:00,100.9168
1985-06-01 0:00,100.9276
1985-07-01 0:00,100.9234
