Year,Technology,Bubble_Status
1997,Internet,Full Bubble
1998,Internet,Growing Bubble
1999,Internet,Growing Bubble
2000,Internet,Full Bubble
2001,Internet,Bubble Burst
2002,Social Media,Emerging Bubble
2003,Social Media,Emerging Bubble
2004,Social Media,Growing Bubble
2005,Social Media,Growing Bubble
2006,Social Media,Full Bubble
2007,Social Media,Full Bubble
2008,Social Media,Growing Bubble
2009,Social Media,Growing Bubble
2010,Social Media,Emerging Bubble
2011,Mobile Technology,Growing Bubble
2012,Mobile Technology,Full Bubble
2013,Mobile Technology,Growing Bubble
2014,Mobile Technology,Growing Bubble
2015,Blockchain,Emerging Bubble
2016,Blockchain,Growing Bubble
2016,Virtual Reality,Emerging Bubble
2017,Blockchain,Growing Bubble
2017,Virtual Reality,Growing Bubble
2017,Augmented Reality,Emerging Bubble
2018,Blockchain,Full Bubble
2018,Virtual Reality,Full Bubble
2018,Augmented Reality,Growing Bubble
2018,Internet of Things,Emerging Bubble
2019,Blockchain,Full Bubble
2019,Augmented Reality,Full Bubble
2019,Internet of Things,Growing Bubble
2020,AI,Emerging Bubble
2020,Internet of Things,Growing Bubble
2020,Augmented Reality,Growing Bubble
2021,AI,Full Bubble
2021,Internet of Things,Full Bubble
2021,Augmented Reality,Full Bubble
2021,5G Technology,Emerging Bubble
2022,AI,Full Bubble
2022,Internet of Things,Growing Bubble
2022,Augmented Reality,Growing Bubble
2022,5G Technology,Growing Bubble
2023,AI,Bubble Burst
2023,Quantum Computing,Emerging Bubble
2023,Internet of Things,Full Bubble
2023,Augmented Reality,Full Bubble
2023,5G Technology,Growing Bubble
2023,Renewable Energy Tech,Growing Bubble
