"Date","Bank of Canada Target Overnight Rate"
"01 Jan 1935","2.5"
"01 Jan 1944","1.58"
"01 Jan 1945","1.5"
"01 Jan 1950","1.62"
"01 Jan 1951","2"
"01 Jan 1955","1.9"
"01 Jan 1956","3.15"
"01 Jan 1957","4.02"
"01 Jan 1958","2.5"
"01 Jan 1959","5.13"
"01 Jan 1960","4.66"
"01 Feb 1960","4.62"
"01 Mar 1960","3.41"
"01 Apr 1960","3.5"
"01 May 1960","2.99"
"01 Jun 1960","3.07"
"01 Jul 1960","3.19"
"01 Aug 1960","2.25"
"01 Sep 1960","1.68"
"01 Oct 1960","2.87"
"01 Nov 1960","3.7699999999999996"
"01 Dec 1960","3.46"
"01 Jan 1961","3.22"
"01 Feb 1961","2.86"
"01 Mar 1961","3.21"
"01 Apr 1961","3.32"
"01 May 1961","3.17"
"01 Jun 1961","2.55"
"01 Jul 1961","2.63"
"01 Aug 1961","2.51"
"01 Sep 1961","2.42"
"01 Oct 1961","2.49"
"01 Nov 1961","2.42"
"01 Dec 1961","2.93"
"01 Jan 1962","3.1"
"01 Feb 1962","3.17"
"01 Mar 1962","3.1"
"01 May 1962","3.5"
"01 Jun 1962","5.75"
"01 Sep 1962","5.25"
"01 Oct 1962","4.75"
"01 Nov 1962","3.75"
"01 May 1963","3.25"
"01 Aug 1963","3.75"
"01 Nov 1964","4"
"01 Dec 1965","4.5"
"01 Mar 1966","5"
"01 Feb 1967","4.75"
"01 Apr 1967","4.25"
"01 Sep 1967","4.75"
"01 Nov 1967","5.75"
"01 Jan 1968","6.75"
"01 Mar 1968","7.25"
"01 Jul 1968","6.25"
"01 Sep 1968","5.75"
"01 Dec 1968","6.25"
"01 Mar 1969","6.75"
"01 Jun 1969","7.25"
"01 Jul 1969","7.75"
"01 May 1970","7.25"
"01 Jun 1970","6.75"
"01 Sep 1970","6.25"
"01 Nov 1970","5.75"
"01 Feb 1971","5"
"01 Oct 1971","4.5"
"01 Apr 1973","5"
"01 May 1973","5.5"
"01 Jun 1973","6"
"01 Aug 1973","6.5"
"01 Sep 1973","7"
"31 Mar 1974","8"
"01 May 1974","8.5"
"01 Jul 1974","9"
"01 Nov 1974","8.5"
"01 Jan 1975","8"
"01 Sep 1975","8.75"
"01 Mar 1976","9.25"
"01 Nov 1976","8.75"
"01 Dec 1976","8.25"
"01 Feb 1977","7.75"
"01 May 1977","7.25"
"01 Mar 1978","7.75"
"01 Apr 1978","8.25"
"01 Jul 1978","8.75"
"01 Sep 1978","9.25"
"01 Oct 1978","10"
"01 Nov 1978","10.5"
"01 Jan 1979","11"
"01 Jul 1979","11.5"
"01 Sep 1979","12"
"01 Oct 1979","13.75"
"01 Mar 1980","14.54"
"01 Apr 1980","15.42"
"01 May 1980","11.58"
"01 Jun 1980","10.42"
"01 Jul 1980","9.93"
"01 Aug 1980","10.2"
"01 Sep 1980","10.77"
"01 Oct 1980","11.51"
"01 Nov 1980","12.81"
"01 Dec 1980","17.01"
"01 Jan 1981","16.75"
"01 Feb 1981","16.89"
"01 Mar 1981","16.34"
"01 Apr 1981","17.15"
"01 May 1981","18.81"
"01 Jun 1981","18.82"
"01 Jul 1981","19.64"
"01 Aug 1981","20.78"
"01 Sep 1981","19.38"
"01 Oct 1981","18.05"
"01 Nov 1981","15.15"
"01 Dec 1981","14.41"
"01 Jan 1982","14.47"
"01 Feb 1982","14.49"
"01 Mar 1982","14.86"
"01 Apr 1982","15.07"
"01 Jun 1982","16.33"
"01 Jul 1982","15.35"
"01 Aug 1982","14.01"
"01 Sep 1982","12.93"
"01 Oct 1982","11.28"
"01 Nov 1982","10.62"
"01 Dec 1982","10.01"
"01 Jan 1983","9.56"
"01 Feb 1983","9.18"
"01 Mar 1983","9.17"
"01 Apr 1983","9.21"
"01 May 1983","9.13"
"01 Jun 1983","9.17"
"01 Jul 1983","9.26"
"01 Aug 1983","9.32"
"01 Sep 1983","9.27"
"01 Oct 1983","9.2"
"01 Nov 1983","9.38"
"01 Dec 1983","9.79"
"01 Jan 1984","9.73"
"01 Feb 1984","9.79"
"01 Mar 1984","10.51"
"01 Apr 1984","10.57"
"01 May 1984","11.35"
"01 Jun 1984","11.73"
"01 Jul 1984","12.99"
"01 Aug 1984","12.14"
"01 Sep 1984","12.03"
"01 Oct 1984","11.46"
"01 Nov 1984","10.53"
"01 Dec 1984","9.91"
"01 Jan 1985","9.41"
"01 Feb 1985","10.7"
"01 Mar 1985","10.93"
"01 Apr 1985","9.5"
"01 May 1985","9.34"
"01 Jun 1985","9.32"
"01 Jul 1985","9.06"
"01 Aug 1985","8.95"
"01 Sep 1985","9.06"
"01 Oct 1985","8.52"
"01 Nov 1985","8.73"
"01 Dec 1985","9.24"
"01 Jan 1986","10.08"
"01 Feb 1986","11.59"
"01 Mar 1986","10.19"
"01 Apr 1986","9.02"
"01 May 1986","8.18"
"01 Jun 1986","8.59"
"01 Jul 1986","8.38"
"01 Aug 1986","8.33"
"01 Sep 1986","8.38"
"01 Oct 1986","8.37"
"01 Nov 1986","8.22"
"01 Dec 1986","8.24"
"01 Jan 1987","7.49"
"01 Feb 1987","7.34"
"01 Mar 1987","6.89"
"01 Apr 1987","8.01"
"01 May 1987","8.29"
"01 Jun 1987","8.34"
"01 Jul 1987","8.51"
"01 Aug 1987","8.99"
"01 Sep 1987","9.32"
"01 Oct 1987","8.01"
"01 Nov 1987","8.23"
"01 Dec 1987","8.41"
"01 Jan 1988","8.38"
"01 Feb 1988","8.33"
"01 Mar 1988","8.53"
"01 Apr 1988","8.81"
"01 May 1988","8.87"
"01 Jun 1988","9.19"
"01 Jul 1988","9.28"
"01 Aug 1988","9.78"
"01 Sep 1988","10.29"
"01 Oct 1988","10.26"
"01 Nov 1988","10.59"
"01 Dec 1988","10.92"
"01 Jan 1989","11.29"
"01 Feb 1989","11.45"
"01 Mar 1989","12.15"
"01 Apr 1989","12.36"
"01 May 1989","12.15"
"01 Jun 1989","12.06"
"01 Jul 1989","12.07"
"01 Aug 1989","12.15"
"01 Sep 1989","12.22"
"01 Oct 1989","12.18"
"01 Nov 1989","12.22"
"01 Jan 1990","12.04"
"01 Feb 1990","13"
"01 Mar 1990","13.13"
"01 Apr 1990","13.52"
"01 May 1990","13.8"
"01 Jun 1990","13.65"
"01 Jul 1990","13.34"
"01 Aug 1990","12.76"
"01 Sep 1990","12.36"
"01 Oct 1990","12.41"
"01 Nov 1990","12"
"01 Dec 1990","11.53"
"01 Jan 1991","10.63"
"01 Feb 1991","9.77"
"01 Mar 1991","9.67"
"01 Apr 1991","9.41"
"01 May 1991","8.82"
"01 Jun 1991","8.66"
"01 Jul 1991","8.69"
"01 Aug 1991","8.55"
"01 Sep 1991","8.43"
"01 Oct 1991","7.92"
"01 Nov 1991","7.44"
"01 Dec 1991","7.42"
"01 Jan 1992","6.83"
"01 Feb 1992","7.31"
"01 Mar 1992","7.4"
"01 Apr 1992","6.6"
"01 May 1992","6.25"
"01 Jun 1992","5.66"
"01 Jul 1992","5.25"
"01 Aug 1992","4.86"
"01 Sep 1992","5.44"
"01 Oct 1992","7.12"
"01 Nov 1992","8.57"
"01 Dec 1992","7.11"
"01 Jan 1993","6.56"
"01 Feb 1993","5.84"
"01 Mar 1993","5.11"
"01 Apr 1993","5.35"
"01 May 1993","4.85"
"01 Jun 1993","4.54"
"01 Jul 1993","4.16"
"01 Aug 1993","4.65"
"01 Oct 1993","4.38"
"01 Nov 1993","4.11"
"01 Dec 1993","3.8600000000000003"
"01 Jan 1994","3.63"
"01 Feb 1994","3.8499999999999996"
"01 Mar 1994","5.39"
"01 Apr 1994","5.82"
"01 May 1994","6.06"
"01 Jun 1994","6.67"
"01 Jul 1994","5.79"
"01 Aug 1994","5.35"
"01 Sep 1994","5.29"
"01 Oct 1994","5.37"
"01 Nov 1994","5.79"
"01 Dec 1994","7.18"
"01 Jan 1995","8.13"
"01 Mar 1995","8.22"
"01 Apr 1995","7.92"
"01 May 1995","7.39"
"01 Jun 1995","6.72"
"01 Jul 1995","6.62"
"01 Aug 1995","6.34"
"01 Sep 1995","6.46"
"01 Oct 1995","7.4"
"01 Nov 1995","5.82"
"01 Dec 1995","5.54"
"01 Jan 1996","5.12"
"01 Feb 1996","5.25"
"01 Mar 1996","5"
"01 Apr 1996","4.75"
"01 Jul 1996","4.5"
"01 Aug 1996","4"
"01 Oct 1996","3.25"
"01 Nov 1996","3"
"01 Jul 1997","3.25"
"01 Oct 1997","3.5"
"01 Nov 1997","3.75"
"01 Dec 1997","4.25"
"01 Feb 1998","4.75"
"01 Sep 1998","5.5"
"01 Oct 1998","5.25"
"01 Nov 1998","5"
"01 Mar 1999","4.75"
"01 May 1999","4.5"
"01 Nov 1999","4.75"
"31 Dec 2000","5.75"
"22 Jan 2001","5.5"
"05 Mar 2001","5"
"16 Apr 2001","4.75"
"28 May 2001","4.5"
"16 Jul 2001","4.25"
"27 Aug 2001","4"
"16 Sep 2001","3.5"
"22 Oct 2001","2.75"
"26 Nov 2001","2.25"
"14 Jan 2002","2"
"15 Apr 2002","2.25"
"03 Jun 2002","2.5"
"15 Jul 2002","2.75"
"03 Mar 2003","3"
"14 Apr 2003","3.25"
"14 Jul 2003","3"
"02 Sep 2003","2.75"
"19 Jan 2004","2.5"
"01 Mar 2004","2.25"
"12 Apr 2004","2"
"07 Sep 2004","2.25"
"18 Oct 2004","2.5"
"06 Sep 2005","2.75"
"17 Oct 2005","3"
"05 Dec 2005","3.25"
"23 Jan 2006","3.5"
"06 Mar 2006","3.75"
"24 Apr 2006","4"
"23 May 2006","4.25"
